Time,Bandwidth Usage (MB/s)
Thu Feb  9 09:44:33 2023,0.0
Thu Feb  9 09:44:34 2023,0.011655878402476874
Thu Feb  9 09:44:35 2023,0.00874145275432591
Thu Feb  9 09:44:36 2023,0.014893455230075648
Thu Feb  9 09:44:37 2023,0.01116888655123579
Thu Feb  9 09:44:38 2023,0.00971815177076778
Thu Feb  9 09:44:39 2023,0.008097117011208617
Thu Feb  9 09:44:40 2023,0.006939816441177415
Thu Feb  9 09:44:41 2023,0.006314563275812517
Thu Feb  9 09:44:42 2023,0.005612503821191455
Thu Feb  9 09:44:43 2023,0.005053169884747338
Thu Feb  9 09:44:44 2023,0.005123389718555386
Thu Feb  9 09:44:45 2023,0.005507107002969643
Thu Feb  9 09:44:46 2023,0.005083092357839789
Thu Feb  9 09:44:47 2023,0.004719682915282634
Thu Feb  9 09:44:48 2023,0.004469527904217389
Thu Feb  9 09:44:49 2023,0.008926441759508484
Thu Feb  9 09:44:50 2023,0.009143874220272855
Thu Feb  9 09:44:51 2023,0.009338629415963097
Thu Feb  9 09:44:52 2023,0.008897923178706349
Thu Feb  9 09:44:53 2023,0.008551888542448552
Thu Feb  9 09:44:54 2023,0.008422160430026922
Thu Feb  9 09:44:55 2023,0.008039464154495165
Thu Feb  9 09:44:56 2023,0.007774236928696135
Thu Feb  9 09:44:57 2023,0.00789556494179764
Thu Feb  9 09:44:58 2023,0.007618362636209918
Thu Feb  9 09:44:59 2023,0.00784846183752496
Thu Feb  9 09:45:00 2023,0.007558226909349227
Thu Feb  9 09:45:01 2023,0.007322739896822146
Thu Feb  9 09:45:02 2023,0.007137959970863606
Thu Feb  9 09:45:03 2023,0.006996981344949837
Thu Feb  9 09:45:04 2023,0.007084523901252714
Thu Feb  9 09:45:05 2023,0.006984607107138741
Thu Feb  9 09:45:06 2023,0.006802201464477363
Thu Feb  9 09:45:07 2023,0.0066594713030068585
Thu Feb  9 09:45:08 2023,0.006496773466562885
Thu Feb  9 09:45:09 2023,0.006343362210779825
Thu Feb  9 09:45:10 2023,0.006277472889320424
Thu Feb  9 09:45:11 2023,0.006112192266528106
Thu Feb  9 09:45:12 2023,0.005980249590617472
Thu Feb  9 09:45:13 2023,0.005830607506728043
Thu Feb  9 09:45:14 2023,0.005830497255575401
Thu Feb  9 09:45:15 2023,0.005691988213749428
Thu Feb  9 09:45:16 2023,0.005604684839599189
Thu Feb  9 09:45:17 2023,0.005477549382687257
Thu Feb  9 09:45:18 2023,0.005355705291746294
Thu Feb  9 09:45:19 2023,0.005239582673157391
Thu Feb  9 09:45:20 2023,0.005127984535558166
Thu Feb  9 09:45:21 2023,0.005021544619705968
Thu Feb  9 09:45:22 2023,0.004918951041322064
Thu Feb  9 09:45:23 2023,0.004820465437565857
Thu Feb  9 09:45:24 2023,0.004859236640386091
Thu Feb  9 09:45:25 2023,0.004765686705303674
Thu Feb  9 09:45:26 2023,0.004675676114257448
Thu Feb  9 09:45:27 2023,0.004589005720655551
Thu Feb  9 09:45:28 2023,0.004505798795842873
Thu Feb  9 09:45:29 2023,0.004425253451447085
Thu Feb  9 09:45:30 2023,0.004364585801025592
Thu Feb  9 09:45:31 2023,0.004306018936000029
Thu Feb  9 09:45:32 2023,0.004232960432452702
Thu Feb  9 09:45:33 2023,0.004162489896786643
Thu Feb  9 09:45:34 2023,0.004189899910621656
Thu Feb  9 09:45:35 2023,0.004122270919086661
Thu Feb  9 09:45:36 2023,0.004087790421082032
Thu Feb  9 09:45:37 2023,0.004023855863068909
Thu Feb  9 09:45:38 2023,0.003961891035002422
Thu Feb  9 09:45:39 2023,0.0039018053653857
Thu Feb  9 09:45:40 2023,0.003843511886610422
Thu Feb  9 09:45:41 2023,0.0038012449236217143
Thu Feb  9 09:45:42 2023,0.0037461103757031326
Thu Feb  9 09:45:43 2023,0.003692548925478518
Thu Feb  9 09:45:44 2023,0.003750222667633044
Thu Feb  9 09:45:45 2023,0.0037116079318880403
Thu Feb  9 09:45:46 2023,0.0037672861278267022
Thu Feb  9 09:45:47 2023,0.003716339135361881
Thu Feb  9 09:45:48 2023,0.003666929693042971
Thu Feb  9 09:45:49 2023,0.0040279769573144586
Thu Feb  9 09:45:50 2023,0.003988314621725982
Thu Feb  9 09:45:51 2023,0.003937135283101522
Thu Feb  9 09:45:52 2023,0.0038995481921342452
Thu Feb  9 09:45:53 2023,0.0038509858596701943
Thu Feb  9 09:45:54 2023,0.00453532541906323
