bytes,hour,minute,second
28672,9,42,47
21504,9,42,52
8192,9,42,57
14336,9,43,2
48128,9,43,7
4096,9,43,12
6144,9,43,17
2048,9,43,22
8192,9,43,27
59392,9,43,32
9216,9,43,37
33792,9,43,42
33792,9,43,47
34816,9,43,52
8192,9,43,57
0,9,44,2
50176,9,44,7
2048,9,44,12
8192,9,44,17
1024,9,44,22
32768,9,44,27
35840,9,44,32
49152,9,44,37
5120,9,44,42
16384,9,44,47
109568,9,44,52
20480,9,44,57
19456,9,45,3
19456,9,45,8
7168,9,45,13
8192,9,45,18
0,9,45,23
7168,9,45,28
2048,9,45,33
8192,9,45,38
1024,9,45,43
17408,9,45,48
34816,9,45,53
209920,9,45,58
825344,9,46,3
2747392,9,46,8
11264,9,46,13
43008,9,46,18
268288,9,46,23
51200,9,46,28
1024,9,46,33
9216,9,46,38
1024,9,46,43
17408,9,46,48
8192,9,46,53
8192,9,46,58
0,9,47,3
37888,9,47,8
2048,9,47,13
14336,9,47,18
2048,9,47,23
7168,9,47,28
2048,9,47,33
30720,9,47,38
10240,9,47,43
8192,9,47,48
12288,9,47,53
7168,9,47,58
2048,9,48,3
28672,9,48,8
24576,9,48,13
7168,9,48,18
2048,9,48,23
8192,9,48,28
2048,9,48,33
8192,9,48,38
1024,9,48,43
7168,9,48,48
17408,9,48,53
8192,9,48,58
429056,9,49,3
55296,9,49,8
82944,9,49,13
11264,9,49,18
4096,9,49,23
8192,9,49,28
20480,9,49,33
2424832,9,49,38
5120,9,49,43
110592,9,49,48
43008,9,49,53
8192,9,49,58
21504,9,50,3
7168,9,50,8
45056,9,50,13
7168,9,50,18
6144,9,50,23
12288,9,50,28
5120,9,50,33
7168,9,50,38
7168,9,50,43
9216,9,50,48
19456,9,50,53
1106944,9,50,58
780288,9,51,3
28672,9,51,8
8192,9,51,13
61440,9,51,18
2048,9,51,23
9216,9,51,28
1024,9,51,33
8192,9,51,38
2048,9,51,43
12288,9,51,48
25600,9,51,53
16384,9,51,58
23552,9,52,3
7168,9,52,8
2048,9,52,13
10240,9,52,18
2048,9,52,23
8192,9,52,28
34816,9,52,33
